"行識別子","出典ID","団体コード","自治体・運営団体名","事業キー","会計区分","決算年度","表番号","行番号","シート名","Excel行番号"
"012165:17-1-000:non_legal_applied:2020","non_legal_applied:33","012165","芦別市","17-1-000","non_legal_applied","2020","33","2","2020470003300","1520"
"012173:17-1-000:legal_applied:2020","legal_applied:10","012173","江別市","17-1-000","legal_applied","2020","10","1","2020460001000","14"
"012173:17-1-000:legal_applied:2020","legal_applied:10","012173","江別市","17-1-000","legal_applied","2020","10","2","2020460001000","2106"
"012173:17-1-000:legal_applied:2020","legal_applied:20","012173","江別市","17-1-000","legal_applied","2020","20","1","2020460002000","2877"
"012173:17-1-000:legal_applied:2020","legal_applied:20","012173","江別市","17-1-000","legal_applied","2020","20","2","2020460002000","7832"
"012173:17-1-000:legal_applied:2020","legal_applied:21","012173","江別市","17-1-000","legal_applied","2020","21","1","2020460002100","2877"
"012173:17-1-000:legal_applied:2020","legal_applied:21","012173","江別市","17-1-000","legal_applied","2020","21","2","2020460002100","7832"
"012173:17-1-000:legal_applied:2020","legal_applied:32","012173","江別市","17-1-000","legal_applied","2020","32","1","2020460003200","14"
"012173:17-1-000:legal_applied:2020","legal_applied:32","012173","江別市","17-1-000","legal_applied","2020","32","2","2020460003200","2106"
"012173:17-1-000:legal_applied:2020","legal_applied:33","012173","江別市","17-1-000","legal_applied","2020","33","1","2020460003300","14"
"012173:17-1-000:legal_applied:2020","legal_applied:33","012173","江別市","17-1-000","legal_applied","2020","33","2","2020460003300","2106"
"012181:17-1-000:non_legal_applied:2020","non_legal_applied:10","012181","赤平市","17-1-000","non_legal_applied","2020","10","1","2020470001000","7"
"012181:17-1-000:non_legal_applied:2020","non_legal_applied:10","012181","赤平市","17-1-000","non_legal_applied","2020","10","2","2020470001000","1521"
"012181:17-1-000:non_legal_applied:2020","non_legal_applied:26","012181","赤平市","17-1-000","non_legal_applied","2020","26","1","2020470002600","2294"
"012181:17-1-000:non_legal_applied:2020","non_legal_applied:26","012181","赤平市","17-1-000","non_legal_applied","2020","26","2","2020470002600","6095"
"012181:17-1-000:non_legal_applied:2020","non_legal_applied:32","012181","赤平市","17-1-000","non_legal_applied","2020","32","1","2020470003200","7"
"012181:17-1-000:non_legal_applied:2020","non_legal_applied:32","012181","赤平市","17-1-000","non_legal_applied","2020","32","2","2020470003200","1521"
"012181:17-1-000:non_legal_applied:2020","non_legal_applied:33","012181","赤平市","17-1-000","non_legal_applied","2020","33","1","2020470003300","7"
"012181:17-1-000:non_legal_applied:2020","non_legal_applied:33","012181","赤平市","17-1-000","non_legal_applied","2020","33","2","2020470003300","1521"
"012190:17-1-000:legal_applied:2020","legal_applied:10","012190","紋別市","17-1-000","legal_applied","2020","10","1","2020460001000","15"
"012190:17-1-000:legal_applied:2020","legal_applied:10","012190","紋別市","17-1-000","legal_applied","2020","10","2","2020460001000","2107"
"012190:17-1-000:legal_applied:2020","legal_applied:20","012190","紋別市","17-1-000","legal_applied","2020","20","1","2020460002000","2878"
"012190:17-1-000:legal_applied:2020","legal_applied:20","012190","紋別市","17-1-000","legal_applied","2020","20","2","2020460002000","7833"
"012190:17-1-000:legal_applied:2020","legal_applied:21","012190","紋別市","17-1-000","legal_applied","2020","21","1","2020460002100","2878"
"012190:17-1-000:legal_applied:2020","legal_applied:21","012190","紋別市","17-1-000","legal_applied","2020","21","2","2020460002100","7833"
"012190:17-1-000:legal_applied:2020","legal_applied:32","012190","紋別市","17-1-000","legal_applied","2020","32","1","2020460003200","15"
"012190:17-1-000:legal_applied:2020","legal_applied:32","012190","紋別市","17-1-000","legal_applied","2020","32","2","2020460003200","2107"
"012190:17-1-000:legal_applied:2020","legal_applied:33","012190","紋別市","17-1-000","legal_applied","2020","33","1","2020460003300","15"
"012190:17-1-000:legal_applied:2020","legal_applied:33","012190","紋別市","17-1-000","legal_applied","2020","33","2","2020460003300","2107"
"012203:17-1-000:non_legal_applied:2020","non_legal_applied:10","012203","士別市","17-1-000","non_legal_applied","2020","10","1","2020470001000","8"
"012203:17-1-000:non_legal_applied:2020","non_legal_applied:10","012203","士別市","17-1-000","non_legal_applied","2020","10","2","2020470001000","1522"
"012203:17-1-000:non_legal_applied:2020","non_legal_applied:26","012203","士別市","17-1-000","non_legal_applied","2020","26","1","2020470002600","2295"
